


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.7.3     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Jan 21 2023 09:41:44     Directory:  hool/2022/Vex Robotics


x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
9.821630, 3.990501, 87.105847, 90.178370, 96.009499, 87.105847, 127.000000, 127.000000, 127.000000
9.828442, 3.815048, 88.447955, 90.171558, 96.184952, 88.447955, 127.000000, 127.000000, 127.000000
10.331085, 3.647075, 89.813663, 89.668915, 96.352925, 89.813663, 127.000000, 127.000000, 127.000000
10.338201, 4.468273, 91.186366, 89.661799, 95.531727, 91.186366, 127.000000, 127.000000, 127.000000
10.332329, 4.288683, 92.557858, 89.667671, 95.711317, 92.557858, 127.000000, 127.000000, 127.000000
10.322171, 4.109442, 93.925185, 89.677829, 95.890558, 93.925185, 127.000000, 127.000000, 127.000000
10.886525, 4.887628, 95.299445, 89.113475, 95.112372, 95.299445, 127.000000, 127.000000, 127.000000
10.867764, 4.708719, 96.690024, 89.132236, 95.291281, 96.690024, 127.000000, 127.000000, 127.000000
10.972907, 5.519907, 98.105227, 89.027093, 94.480093, 98.105227, 127.000000, 127.000000, 127.000000
10.944526, 5.336844, 99.539569, 89.055474, 94.663156, 99.539569, 127.000000, 127.000000, 127.000000
10.911094, 5.152090, 100.966331, 89.088906, 94.847910, 100.966331, 127.000000, 127.000000, 127.000000
11.565374, 5.847268, 102.384088, 88.434626, 94.152732, 102.384088, 127.000000, 127.000000, 127.000000
11.523333, 5.666509, 103.789095, 88.476667, 94.333491, 103.789095, 127.000000, 127.000000, 127.000000
11.477310, 5.488445, 105.192176, 88.522690, 94.511555, 105.192176, 127.000000, 127.000000, 127.000000
11.700867, 6.273575, 106.614858, 88.299133, 93.726425, 106.614858, 127.000000, 127.000000, 127.000000
